message: Controller: Game Action: Games Time: 6579422 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message: Controller: Game Action: Games Time: 6696456 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message: Controller: Game Action: Games Time: 6918432 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message: Controller: Game Action: Games Time: 6933197 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message: Controller: Game Action: Games Time: 148477 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message: Controller: Game Action: Games Time: 211360 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 509050 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 509124 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 509239 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Games |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 509343 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 509343 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message:    at GameStore.BLL.Services.Concrete.GenreService.Get() in E:\Repositories\T 4\GameStore\GameStore.Application\Services\Concrete\GenreService.cs:line 37 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.BLL.Services.Abstract.IGenreService |              callSite GameStore.BLL.Services.Concrete.GenreService.Get |             eventProperties: 
message: Controller: Game Action: Games Time: 9557 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 9608 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 9703 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: /Games |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 22579 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 22632 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 77791 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 77881 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 98231 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 98231 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: Games Time: 13134 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
message: Controller: Game Action: GetGameCount Time: 13231 |              username: notauth:: |              serverName: localhost |              port: 59495 |              url: / |              logger GameStore.Web.Filters.LogAttribute |              callSite GameStore.Web.Filters.LogAttribute.OnActionExecuted |             eventProperties: 
